Tanggal,Harga_Ayam,Harga_Cabai,Harga_Beras_Premium,Harga_Beras_Medium,Harga_Minyak_Kemasan,Harga_Minyak_Curah,Harga_Tepung_Kemasan
2024-01-01,39667.0,73333.0,14917.0,12908.0,17500.0,15200.0,12833.0
2024-01-02,38500.0,75833.0,14833.0,12908.0,17500.0,15200.0,12833.0
2024-01-03,38500.0,75833.0,14917.0,12908.0,17500.0,15400.0,12833.0
2024-01-04,38500.0,78333.0,14917.0,13075.0,17667.0,15200.0,12833.0
2024-01-05,38500.0,77500.0,14833.0,12908.0,17500.0,15200.0,12833.0
2024-01-06,38167.0,74167.0,14917.0,12908.0,17500.0,15200.0,12833.0
2024-01-07,38167.0,76667.0,14917.0,13075.0,17500.0,15200.0,12833.0
2024-01-08,40667.0,72500.0,15017.0,13075.0,17500.0,15200.0,13000.0
2024-01-09,40667.0,72500.0,15017.0,13075.0,17500.0,15200.0,13000.0
2024-01-10,40333.0,75000.0,15017.0,13075.0,17500.0,15200.0,12800.0
2024-01-11,40333.0,74167.0,15017.0,13075.0,17667.0,15200.0,13000.0
2024-01-12,39833.0,71667.0,15017.0,13075.0,17500.0,15200.0,13000.0
2024-01-13,40000.0,70833.0,15017.0,13075.0,17500.0,15200.0,12833.0
2024-01-14,39833.0,75000.0,15017.0,13075.0,17500.0,15200.0,13000.0
2024-01-15,36800.0,72000.0,14900.0,12940.0,17000.0,15200.0,12800.0
2024-01-16,39000.0,70000.0,15017.0,13075.0,17500.0,15200.0,13000.0
2024-01-17,39000.0,72500.0,15017.0,13075.0,17500.0,15200.0,13000.0
2024-01-18,39000.0,73333.0,15017.0,13075.0,17500.0,15200.0,12833.0
2024-01-19,38429.0,71429.0,15014.0,13064.0,17429.0,15167.0,12714.0
2024-01-20,36800.0,70000.0,14900.0,12940.0,17000.0,15200.0,12600.0
2024-01-21,38429.0,69286.0,15157.0,13207.0,17429.0,15167.0,12714.0
2024-01-22,38857.0,70714.0,15371.0,13279.0,17429.0,15167.0,12714.0
2024-01-23,38429.0,70000.0,15371.0,13279.0,17429.0,15167.0,12714.0
2024-01-24,38429.0,70714.0,15514.0,13421.0,17429.0,15167.0,13000.0
2024-01-25,38857.0,75000.0,15586.0,13421.0,17429.0,15167.0,13000.0
2024-01-26,38571.0,73571.0,15300.0,13253.0,17429.0,15167.0,13143.0
2024-01-27,38429.0,73571.0,15586.0,13421.0,17429.0,15167.0,13143.0
2024-01-28,38143.0,72857.0,15657.0,13564.0,17429.0,15333.0,13143.0
2024-01-29,38143.0,71429.0,15586.0,13396.0,17429.0,15333.0,13143.0
2024-01-30,38286.0,68571.0,15800.0,13707.0,17429.0,15250.0,13000.0
2024-01-31,38143.0,70000.0,15800.0,13564.0,17571.0,15333.0,13143.0
2024-02-01,38143.0,69286.0,15657.0,13564.0,17429.0,15167.0,13214.0
2024-02-02,37714.0,68571.0,15800.0,13707.0,17429.0,15167.0,13214.0
2024-02-03,38167.0,67500.0,15600.0,13440.0,17500.0,15200.0,12833.0
2024-02-04,38143.0,71571.0,15657.0,13533.0,17143.0,15333.0,13143.0
2024-02-05,39000.0,71375.0,15650.0,13533.0,17750.0,15167.0,13125.0
2024-02-06,38143.0,72857.0,15800.0,13583.0,17286.0,15000.0,13000.0
2024-02-07,38000.0,73571.0,15871.0,13667.0,17429.0,15167.0,13143.0
2024-02-08,38143.0,74286.0,15871.0,13833.0,17286.0,15083.0,13143.0
2024-02-09,41667.0,72500.0,15583.0,13375.0,18528.0,15125.0,13556.0
2024-02-10,38583.0,72917.0,15633.0,13636.0,17083.0,15182.0,13250.0
2024-02-11,37200.0,75000.0,15700.0,13400.0,17000.0,15200.0,12800.0
2024-02-12,38429.0,74286.0,15729.0,13667.0,17429.0,15167.0,13143.0
2024-02-13,38429.0,75714.0,15729.0,13500.0,17429.0,15250.0,13143.0
2024-02-14,38714.0,72857.0,15871.0,13500.0,17429.0,15167.0,13143.0
2024-02-15,38429.0,72857.0,15871.0,13667.0,17429.0,15167.0,13143.0
2024-02-16,38714.0,77857.0,15871.0,13667.0,17429.0,15167.0,13143.0
2024-02-17,38714.0,80000.0,16014.0,13833.0,17429.0,15167.0,13071.0
2024-02-18,38714.0,81429.0,16514.0,14417.0,17429.0,15167.0,13143.0
2024-02-19,38714.0,82143.0,16514.0,14333.0,17429.0,15167.0,13143.0
2024-02-20,38714.0,82143.0,16586.0,14417.0,17429.0,15167.0,13143.0
2024-02-21,38714.0,80000.0,16729.0,14833.0,17571.0,15333.0,13071.0
2024-02-22,37571.0,86429.0,16800.0,14750.0,17429.0,15167.0,13143.0
2024-02-23,37286.0,86429.0,16800.0,14917.0,17429.0,15167.0,13143.0
2024-02-24,37286.0,90000.0,16800.0,14750.0,17571.0,15333.0,13143.0
2024-02-25,37286.0,87143.0,16800.0,14917.0,17571.0,15167.0,13143.0
2024-02-26,37286.0,87143.0,16871.0,14833.0,17571.0,15333.0,13143.0
2024-02-27,37286.0,82857.0,16871.0,15000.0,17429.0,15333.0,13143.0
2024-02-28,37286.0,82857.0,16871.0,14833.0,17571.0,15333.0,13143.0
2024-02-29,37286.0,82143.0,16729.0,14833.0,17429.0,15167.0,13143.0
2024-03-01,37167.0,80000.0,17250.0,14800.0,17667.0,15200.0,13083.0
2024-03-02,37286.0,80000.0,17071.0,14833.0,17571.0,15333.0,13214.0
2024-03-03,37286.0,78571.0,16929.0,14667.0,17571.0,15333.0,13143.0
2024-03-04,37286.0,79286.0,16929.0,14667.0,17571.0,15500.0,12857.0
2024-03-05,37571.0,80000.0,16929.0,14667.0,17571.0,15502.0,13143.0
2024-03-06,37571.0,78571.0,16929.0,14667.0,17429.0,15500.0,13286.0
2024-03-07,37714.0,81429.0,16929.0,14667.0,17571.0,15500.0,13214.0
2024-03-08,37857.0,82143.0,16514.0,14500.0,17571.0,15500.0,13286.0
2024-03-09,37857.0,80714.0,16514.0,14583.0,17571.0,15333.0,13286.0
2024-03-10,37714.0,80714.0,16586.0,14667.0,17571.0,15500.0,13286.0
2024-03-11,38429.0,81429.0,16586.0,14667.0,17714.0,15583.0,13286.0
2024-03-12,38143.0,80000.0,16300.0,14333.0,17429.0,15333.0,13286.0
2024-03-13,38714.0,88571.0,17514.0,15000.0,17571.0,15417.0,13286.0
2024-03-14,39571.0,93571.0,17857.0,15000.0,17714.0,15583.0,13286.0
2024-03-15,39429.0,89286.0,17643.0,14917.0,17571.0,15333.0,13357.0
2024-03-16,39000.0,90000.0,17643.0,14750.0,17714.0,15667.0,13357.0
2024-03-17,39286.0,86429.0,17500.0,14583.0,17571.0,15667.0,13357.0
2024-03-18,39286.0,85000.0,17500.0,14833.0,17643.0,15667.0,13214.0
2024-03-19,39429.0,79286.0,17643.0,14833.0,17786.0,16333.0,13357.0
2024-03-20,39429.0,77143.0,17643.0,14833.0,17786.0,15917.0,13357.0
2024-03-21,39429.0,70714.0,17643.0,14833.0,17786.0,15917.0,13357.0
2024-03-22,37833.0,65833.0,17250.0,14500.0,17667.0,15800.0,13250.0
2024-03-23,39500.0,61667.0,17417.0,14800.0,17833.0,16000.0,13417.0
2024-03-24,38714.0,65714.0,17500.0,14833.0,17786.0,15917.0,13357.0
2024-03-25,37792.0,65833.0,17083.0,14500.0,17667.0,16000.0,13250.0
2024-03-26,38821.0,60000.0,17500.0,14833.0,17714.0,15917.0,13286.0
2024-03-27,38964.0,59286.0,17500.0,14833.0,17714.0,15833.0,13357.0
2024-03-28,38857.0,57857.0,17500.0,14833.0,17714.0,15917.0,13357.0
2024-03-29,38857.0,54286.0,17500.0,14833.0,17714.0,15750.0,13357.0
2024-03-30,39714.0,54286.0,17500.0,14833.0,17714.0,15750.0,13357.0
2024-03-31,38857.0,53571.0,17500.0,14833.0,17714.0,15667.0,13357.0
2024-04-01,41429.0,54286.0,17500.0,14833.0,17714.0,15667.0,13286.0
2024-04-02,41429.0,54286.0,17500.0,14833.0,17714.0,15833.0,13286.0
2024-04-03,41000.0,55000.0,17500.0,14833.0,17714.0,15750.0,13357.0
2024-04-04,41286.0,55000.0,17500.0,14833.0,17714.0,15750.0,13286.0
2024-04-05,43167.0,55833.0,17833.0,14900.0,18000.0,15700.0,13333.0
2024-04-06,41714.0,57857.0,17500.0,14833.0,17571.0,15667.0,13357.0
2024-04-07,42286.0,67143.0,17500.0,14833.0,17429.0,15833.0,13286.0
2024-04-08,42857.0,65000.0,17500.0,14833.0,17429.0,15833.0,13286.0
2024-04-09,43143.0,70000.0,17643.0,14833.0,17714.0,15667.0,13357.0
2024-04-10,42762.0,68095.33333333333,17595.333333333332,14833.0,17714.0,15667.0,13333.333333333334
2024-04-11,42381.0,66190.66666666667,17547.666666666668,14833.0,17714.0,15667.0,13309.666666666666
2024-04-12,42000.0,64286.0,17500.0,14833.0,17714.0,15667.0,13286.0
2024-04-13,43167.0,64167.0,17667.0,14900.0,18083.0,15700.0,13417.0
2024-04-14,40857.0,61429.0,17500.0,14833.0,17714.0,15750.0,13357.0
2024-04-15,41000.0,56429.0,17500.0,14833.0,17714.0,15750.0,13357.0
2024-04-16,40000.0,57143.0,17500.0,14833.0,17786.0,15750.0,13429.0
2024-04-17,39429.0,54286.0,17357.0,14667.0,17714.0,15750.0,13214.0
2024-04-18,39143.0,52857.0,17143.0,14500.0,17714.0,15750.0,13214.0
2024-04-19,38333.0,46667.0,17167.0,14583.0,17333.0,15750.0,13083.0
2024-04-20,39286.0,46429.0,17286.0,14583.0,17786.0,15750.0,13214.0
2024-04-21,37833.0,45833.0,17000.0,14417.0,17333.0,15750.0,13083.0
2024-04-22,39000.0,52143.0,17286.0,14583.0,17429.0,15750.0,13286.0
2024-04-23,38429.0,47143.0,17000.0,14250.0,17429.0,15833.0,13214.0
2024-04-24,38667.0,48333.0,17167.0,14100.0,17500.0,15500.0,13417.0
2024-04-25,38714.0,48286.0,16714.0,14250.0,17429.0,15750.0,13214.0
2024-04-26,38429.0,54000.0,16714.0,14250.0,17429.0,15750.0,13143.0
2024-04-27,37500.0,53333.0,16500.0,14167.0,17333.0,15667.0,13000.0
2024-04-28,38000.0,51429.0,16714.0,14167.0,17500.0,15833.0,13214.0
2024-04-29,38571.0,53714.0,16714.0,14167.0,17500.0,15833.0,13214.0
2024-04-30,39000.0,55714.0,16571.0,14000.0,17500.0,15833.0,13214.0
2024-05-01,40667.0,60000.0,16833.0,14200.0,17750.0,15800.0,13250.0
2024-05-02,39286.0,57143.0,16571.0,14167.0,17429.0,15750.0,13143.0
2024-05-03,38000.0,58333.0,16500.0,14333.0,17417.0,15833.0,13000.0
2024-05-04,38000.0,56333.0,16500.0,14167.0,17417.0,15833.0,12833.0
2024-05-05,38714.0,57857.0,16714.0,14167.0,17500.0,15833.0,13214.0
2024-05-06,38429.0,56429.0,16714.0,14167.0,17500.0,15833.0,13143.0
2024-05-07,38714.0,53571.0,16643.0,14167.0,17786.0,15833.0,13000.0
2024-05-08,38714.0,54286.0,16643.0,14167.0,17500.0,15833.0,13071.0
2024-05-09,40500.0,52500.0,16917.0,14400.0,17750.0,15800.0,13083.0
2024-05-10,38714.0,52857.0,16500.0,14000.0,17643.0,16000.0,13071.0
2024-05-11,40500.0,50000.0,16750.0,14200.0,17750.0,15800.0,13083.0
2024-05-12,38571.0,53571.0,16500.0,14000.0,17643.0,16000.0,13071.0
2024-05-13,38714.0,52143.0,16571.0,14833.0,17571.0,15833.0,13000.0
2024-05-14,38714.0,49286.0,16571.0,14167.0,17643.0,16000.0,13000.0
2024-05-15,38571.0,47857.0,16571.0,14167.0,17643.0,16000.0,13000.0
2024-05-16,38571.0,49286.0,16571.0,14167.0,17643.0,16000.0,13000.0
2024-05-17,38714.0,50000.0,16571.0,14167.0,17643.0,15833.0,12929.0
2024-05-18,38714.0,49286.0,16571.0,14167.0,17643.0,16000.0,13000.0
2024-05-19,38571.0,52143.0,16571.0,14167.0,17786.0,16167.0,13000.0
