Tanggal,Harga_Ayam,Harga_Cabai,Harga_Beras_Premium,Harga_Beras_Medium,Harga_Minyak_Kemasan,Harga_Minyak_Curah,Harga_Tepung_Kemasan
2024-01-01,39667,73333,14917,12908,17500,15200,12833
2024-01-02,38500,75833,14833,12908,17500,15200,12833
2024-01-03,38500,75833,14917,12908,17500,15400,12833
2024-01-04,38500,78333,14917,13075,17667,15200,12833
2024-01-05,38500,77500,14833,12908,17500,15200,12833
2024-01-06,38167,74167,14917,12908,17500,15200,12833
2024-01-07,38167,76667,14917,13075,17500,15200,12833
2024-01-08,40667,72500,15017,13075,17500,15200,13000
2024-01-09,40667,72500,15017,13075,17500,15200,13000
2024-01-10,40333,75000,15017,13075,17500,15200,12800
2024-01-11,40333,74167,15017,13075,17667,15200,13000
2024-01-12,39833,71667,15017,13075,17500,15200,13000
2024-01-13,40000,70833,15017,13075,17500,15200,12833
2024-01-14,39833,75000,15017,13075,17500,15200,13000
2024-01-15,36800,72000,14900,12940,17000,15200,12800
2024-01-16,39000,70000,15017,13075,17500,15200,13000
2024-01-17,39000,72500,15017,13075,17500,15200,13000
2024-01-18,39000,73333,15017,13075,17500,15200,12833
2024-01-19,38429,71429,15014,13064,17429,15167,12714
2024-01-20,36800,70000,14900,12940,17000,15200,12600
2024-01-21,38429,69286,15157,13207,17429,15167,12714
2024-01-22,38857,70714,15371,13279,17429,15167,12714
2024-01-23,38429,70000,15371,13279,17429,15167,12714
2024-01-24,38429,70714,15514,13421,17429,15167,13000
2024-01-25,38857,75000,15586,13421,17429,15167,13000
2024-01-26,38571,73571,15300,13253,17429,15167,13143
2024-01-27,38429,73571,15586,13421,17429,15167,13143
2024-01-28,38143,72857,15657,13564,17429,15333,13143
2024-01-29,38143,71429,15586,13396,17429,15333,13143
2024-01-30,38286,68571,15800,13707,17429,15250,13000
2024-01-31,38143,70000,15800,13564,17571,15333,13143
2024-02-01,38143,69286,15657,13564,17429,15167,13214
2024-02-02,37714,68571,15800,13707,17429,15167,13214
2024-02-03,38167,67500,15600,13440,17500,15200,12833
2024-02-04,38143,71571,15657,13533,17143,15333,13143
2024-02-05,39000,71375,15650,13533,17750,15167,13125
2024-02-06,38143,72857,15800,13583,17286,15000,13000
2024-02-07,38000,73571,15871,13667,17429,15167,13143
2024-02-08,38143,74286,15871,13833,17286,15083,13143
2024-02-09,41667,72500,15583,13375,18528,15125,13556
2024-02-10,38583,72917,15633,13636,17083,15182,13250
2024-02-11,37200,75000,15700,13400,17000,15200,12800
2024-02-12,38429,74286,15729,13667,17429,15167,13143
2024-02-13,38429,75714,15729,13500,17429,15250,13143
2024-02-14,38714,72857,15871,13500,17429,15167,13143
2024-02-15,38429,72857,15871,13667,17429,15167,13143
2024-02-16,38714,77857,15871,13667,17429,15167,13143
2024-02-17,38714,80000,16014,13833,17429,15167,13071
2024-02-18,38714,81429,16514,14417,17429,15167,13143
2024-02-19,38714,82143,16514,14333,17429,15167,13143
2024-02-20,38714,82143,16586,14417,17429,15167,13143
2024-02-21,38714,80000,16729,14833,17571,15333,13071
2024-02-22,37571,86429,16800,14750,17429,15167,13143
2024-02-23,37286,86429,16800,14917,17429,15167,13143
2024-02-24,37286,90000,16800,14750,17571,15333,13143
2024-02-25,37286,87143,16800,14917,17571,15167,13143
2024-02-26,37286,87143,16871,14833,17571,15333,13143
2024-02-27,37286,82857,16871,15000,17429,15333,13143
2024-02-28,37286,82857,16871,14833,17571,15333,13143
2024-02-29,37286,82143,16729,14833,17429,15167,13143
2024-03-01,37167,80000,17250,14800,17667,15200,13083
2024-03-02,37286,80000,17071,14833,17571,15333,13214
2024-03-03,37286,78571,16929,14667,17571,15333,13143
2024-03-04,37286,79286,16929,14667,17571,15500,12857
2024-03-05,37571,80000,16929,14667,17571,15502,13143
2024-03-06,37571,78571,16929,14667,17429,15500,13286
2024-03-07,37714,81429,16929,14667,17571,15500,13214
2024-03-08,37857,82143,16514,14500,17571,15500,13286
2024-03-09,37857,80714,16514,14583,17571,15333,13286
2024-03-10,37714,80714,16586,14667,17571,15500,13286
2024-03-11,38429,81429,16586,14667,17714,15583,13286
2024-03-12,38143,80000,16300,14333,17429,15333,13286
2024-03-13,38714,88571,17514,15000,17571,15417,13286
2024-03-14,39571,93571,17857,15000,17714,15583,13286
2024-03-15,39429,89286,17643,14917,17571,15333,13357
2024-03-16,39000,90000,17643,14750,17714,15667,13357
2024-03-17,39286,86429,17500,14583,17571,15667,13357
2024-03-18,39286,85000,17500,14833,17643,15667,13214
2024-03-19,39429,79286,17643,14833,17786,16333,13357
2024-03-20,39429,77143,17643,14833,17786,15917,13357
2024-03-21,39429,70714,17643,14833,17786,15917,13357
2024-03-22,37833,65833,17250,14500,17667,15800,13250
2024-03-23,39500,61667,17417,14800,17833,16000,13417
2024-03-24,38714,65714,17500,14833,17786,15917,13357
2024-03-25,37792,65833,17083,14500,17667,16000,13250
2024-03-26,38821,60000,17500,14833,17714,15917,13286
2024-03-27,38964,59286,17500,14833,17714,15833,13357
2024-03-28,38857,57857,17500,14833,17714,15917,13357
2024-03-29,38857,54286,17500,14833,17714,15750,13357
2024-03-30,39714,54286,17500,14833,17714,15750,13357
2024-03-31,38857,53571,17500,14833,17714,15667,13357
